Job Title,Job Description,Alternate Job Titles,Titles,,
Agile Coach,Guides teams into the Agile methodology,Scrum Master, Agile Mentor,,
Android Developer,Develops software for Android platforms,Mobile Developer, Software Developer,,
API Architect,Designs API integrations and guidelines,Software Architect, Systems Architect,,
API Developer,Develops Application Programming Interfaces,Back-end Developer, Integration Developer,,
Application Security Engineer,Focuses on security aspects in the design and development of applications,Security Engineer, Software Security Engineer,,
Application Support Analyst,Provides application troubleshooting and problem resolution,IT Support Analyst, Technical Support Analyst,,
Applications Manager,Oversees the applications team in a company,App Manager, Software Applications Manager,,
Artificial Intelligence Architect,Designs AI systems and models,AI Architect, Machine Learning Architect,,
Artificial Intelligence Engineer,Develops AI models and systems,Machine Learning Engineer, AI Specialist,,
Augmented Reality Developer,Designs and develops augmented reality applications,AR Developer, AR Software Developer,,
Automation Engineer,Designs and develops automated systems,Robotic Process Automation Engineer, Automation Specialist,,
Backend Developer,Develops server-side of applications,Software Developer, Server-side Developer,,
Back-end Developer,Works on the server-side logic of web applications,Backend Engineer, Server-side Developer,,
BI Consultant,Advises on business intelligence and data analysis,BI Specialist, Business Intelligence Analyst,,
Big Data Analyst,Analyses large data sets,Data Scientist, Data Analyst,,
Big Data Architect,Designs and builds big data solutions,Data Architect, Data Engineer,,
Big Data Engineer,Works with big data and develops algorithms,Data Engineer, Data Scientist,,
Bioinformatics Specialist,Applies IT and software solutions to the field of biology,Computational Biologist, Bioinformatics Analyst,,
Blockchain Architect,Designs and implements blockchain solutions,Blockchain Developer, Blockchain Engineer,,
Blockchain Consultant,Advises on the use and implementation of blockchain technology,Blockchain Specialist, IT Consultant,,
Blockchain Developer,Develops and optimizes blockchain protocols and designs the network architecture,Blockchain Engineer, Cryptocurrency Developer,,
Bot Developer,Develops chatbots or social bots,Bot Programmer, AI Developer,,
Business Analyst,Analyses an organization to design or optimize its methods and systems,IT Analyst, Business Systems Analyst,,
Business Intelligence Analyst,Analyzes complex data to help companies make decisions,BI Analyst, Business Analyst,,
Business Intelligence Architect,Designs and implements BI solutions,BI Specialist, Data Architect,,
Chief AI Officer,Responsible for AI strategy and implementation in a company,CAIO, AI Director,,
Chief Analytics Officer,Oversees analytics in a company,CAO, Director of Analytics,,
Chief Data Officer,Oversees a team responsible for an organization's data,CDO, Data Governance Manager,,
Chief Digital Officer,In charge of the digital transformation strategy of a company,CDO, Digital Transformation Manager,,
Chief Information Officer,Responsible for all IT strategy in an organization,CIO, IT Director,,
Chief Innovation Officer,Responsible for managing innovations within a company,CINO, Innovation Director,,
Chief Technology Officer,Responsible for overseeing an organization's technological needs,CTO, Technology Director,,
Cloud Consultant,Advises on cloud computing strategies,Cloud Advisor, Cloud Specialist,,
Cloud Engineer,Designs, develops and manages an organization's cloud computing strategy,Cloud Architect, Cloud Developer,
Cloud Product Manager,Oversees cloud product development and lifecycle,Cloud Manager, Product Manager,,
Cloud Security Architect,Designs security of cloud systems and infrastructure,Cloud Security Engineer, Cloud Security Specialist,,
Cloud Security Consultant,Advises on security for cloud systems,Security Advisor, Cybersecurity Consultant,,
Cloud Solutions Architect,Designs and architects cloud environments,Cloud Engineer, Cloud Architect,,
Cloud Systems Engineer,Operates and maintains cloud systems,Cloud Administrator, Cloud Developer,,
Computer Forensic Analyst,Recovers and investigates material found in digital devices,Forensic Investigator, Digital Forensic Analyst,,
Content Manager,Oversees the content presented on websites and blogs,Content Director, Content Specialist,,
CRM Developer,Works on Customer Relationship Management systems,CRM Specialist, Salesforce Developer,,
Cryptographer,Designs algorithms and systems for encrypting data,Cryptography Engineer, Encryption Specialist,,
Customer Success Manager,Ensures customers achieve their desired outcomes while using your product,Customer Success Specialist, Customer Relationship Manager,,
Cyber Security Consultant,Advises on cybersecurity practices and systems,Security Advisor, IT Security Consultant,,
Cyber Security Engineer,Designs and implements cybersecurity measures,Security Engineer, IT Security Specialist,,
Cyber Security Trainee,An entry-level position in cybersecurity,Junior Security Analyst, Cybersecurity Intern,,
Cyber Threat Intelligence Analyst,Analyzes cyber threats for an organization,Security Analyst, Threat Intelligence Analyst,,
Cybersecurity Architect,Designs and implements cybersecurity systems,Security Architect, Information Security Architect,,
Cybersecurity Awareness Trainer,Trains employees in cybersecurity best practices,Security Trainer, Cybersecurity Trainer,,
Cybersecurity Consultant,Advises on, implements, and maintains the best security solutions,Security Advisor, IT Security Consultant
Cybersecurity Operations Manager,Manages daily operations of cybersecurity activities,Cybersecurity Manager, Information Security Operations Manager,,
Cybersecurity Policy Analyst,Develops and implements cybersecurity policies,Security Analyst, Information Security Policy Analyst,,
Cybersecurity Specialist,Protects computer systems from cyber threats,Security Analyst, Information Security Specialist,,
Data Analyst,Analyzes and interprets complex data sets,Data Scientist, Data Specialist,,
Data Architect,Designs and creates data systems and databases,Data Engineer, Database Architect,,
Data Center Engineer,Ensures the smooth operation of large data centers,Data Center Operator, Data Center Technician,,
Data Compliance Officer,Ensures the company is in compliance with data regulations,Data Governance Manager, Data Protection Officer,,
Data Engineer,Prepares data for analytical or operational uses,Data Architect, Big Data Engineer,,
Data Engineering Manager,Manages a team of data engineers,Data Manager, Head of Data Engineering,,
Data Governance Analyst,Develops and implements data governance frameworks,Data Analyst, Data Governance Specialist,,
Data Governance Specialist,Ensures data quality, protection, and compliance,Data Steward, Data Manager
Data Operations Analyst,Analyses and improves data operations,Data Analyst, Operations Analyst,,
Data Privacy Analyst,Analyses and ensures data privacy compliance,Privacy Officer, Compliance Analyst,,
Data Privacy Officer,Ensures the company is in compliance with data privacy regulations,Data Governance Manager, Privacy Officer,,
Data Product Manager,Manages data as a product,Product Manager, Data Manager,,
Data Protection Officer,Ensures compliance with data protection laws and regulations,Privacy Officer, Compliance Officer,,
Data Quality Analyst,Ensures the quality and consistency of data,Data Analyst, Quality Assurance Analyst,,
Data Science Manager,Manages a team of data scientists,Data Manager, Head of Data Science,,
Data Scientist,Uses algorithms and statistical models to interpret data,Data Analyst, Machine Learning Engineer,,
Data Security Analyst,Secures and protects data from breaches,Security Analyst, Information Security Analyst,,
Data Visualization Specialist,Creates visual representations of data,Data Analyst, Data Artist,,
Data Warehouse Specialist,Designs and manages data warehouse technology,Data Architect, Data Warehouse Architect,,
Database Administrator,Manages and maintains database systems,DBA, Database Manager,,
Database Designer,Designs databases,Database Developer, Database Engineer,,
Database Engineer,Designs and builds databases,Database Developer, DBA,,
Database Manager,Manages databases and database systems,Database Administrator, DBA Manager,,
Database Security Expert,Specializes in securing databases against threats,Database Administrator, Database Security Administrator,,
Datacenter Manager,Manages datacenter operations and maintenance,IT Infrastructure Manager, IT Operations Manager,,
Deep Learning Engineer,Develops deep learning models,AI Engineer, Machine Learning Engineer,,
DevOps Consultant,Advises on the implementation and optimization of DevOps practices,DevOps Coach, DevOps Specialist,,
DevOps Engineer,Works with developers and the IT staff to oversee code releases,DevOps Manager, Release Manager,,
DevSecOps Engineer,Integrates security into the DevOps workflow,Security Engineer, DevOps Engineer,,
Digital Analyst,Analyses digital data,Data Analyst, Web Analyst,,
Digital Marketer,Plans and executes marketing campaigns online and on social media,Digital Marketing Specialist, Online Marketer,,
Digital Marketing Analyst,Analyzes digital marketing strategies and results,Marketing Analyst, Digital Analyst,,
Digital Product Manager,Manages digital products,Product Manager, Digital Project Manager,,
Digital Transformation Consultant,Advises on the digital transformation of business processes,Digital Strategy Consultant, Digital Innovation Consultant,,
